iter	Passed	Remaining
1294	235972	128463
1295	236172	128291
1296	236357	128110
1297	236558	127938
1298	236748	127760
1299	236904	127564
1300	237046	127360
1301	237215	127171
1302	237385	126982
1303	237553	126792
1304	237735	126610
1305	237886	126411
1306	238057	126223
1307	238214	126027
1308	238299	125794
1309	238462	125602
1310	238644	125420
1311	238836	125243
1312	239029	125067
1313	239205	124882
1314	239363	124687
1315	239492	124477
1316	239643	124279
1317	239811	124090
1318	239986	123904
1319	240163	123720
1320	240343	123537
1321	240504	123345
1322	240653	123146
1323	240815	122953
1324	241011	122779
1325	241196	122598
1326	241400	122428
1327	241605	122258
1328	241754	122059
1329	241906	121862
1330	242069	121671
1331	242216	121471
1332	242370	121276
1333	242549	121092
1334	242743	120917
1335	242914	120729
1336	243107	120553
1337	243291	120373
1338	243450	120179
1339	243601	119982
1340	243779	119799
1341	243955	119614
1342	244109	119419
1343	244310	119246
1344	244496	119066
1345	244680	118886
1346	244863	118705
1347	245034	118518
1348	245182	118320
1349	245341	118127
1350	245496	117932
1351	245663	117744
1352	245833	117556
1353	246016	117375
1354	246096	117145
1355	246259	116955
1356	246410	116759
1357	246577	116570
1358	246743	116381
1359	246935	116204
1360	247148	116038
1361	247247	115817
1362	247454	115648
1363	247637	115467
1364	247795	115274
1365	247887	115051
1366	248059	114865
1367	248214	114672
1368	248396	114490
1369	248563	114302
1370	248740	114119
1371	248915	113935
1372	249077	113744
1373	249225	113548
1374	249380	113354
1375	249576	113179
1376	249775	113006
1377	249973	112832
1378	250166	112656
1379	250332	112468
1380	250480	112271
1381	250641	112081
1382	250789	111885
1383	250958	111698
1384	251144	111518
1385	251317	111334
1386	251477	111143
1387	251643	110955
1388	251803	110764
1389	251963	110573
1390	252168	110402
1391	252359	110226
1392	252559	110052
1393	252738	109870
1394	252906	109683
1395	253098	109506
1396	253253	109313
1397	253423	109127
1398	253609	108948
1399	253794	108768
1400	253992	108594
1401	254175	108414
1402	254338	108225
1403	254486	108030
1404	254652	107841
1405	254855	107669
1406	255000	107473
1407	255208	107303
1408	255408	107130
1409	255603	106954
1410	255761	106763
1411	255924	106574
1412	256090	106387
1413	256222	106185
1414	256385	105996
1415	256570	105817
1416	256764	105641
1417	256944	105459
1418	257109	105271
1419	257258	105077
1420	257427	104891
1421	257609	104710
1422	257727	104503
1423	257921	104327
1424	258110	104149
1425	258328	103983
1426	258536	103813
1427	258706	103627
1428	258875	103441
1429	259032	103250
1430	259189	103059
1431	259364	102876
1432	259552	102698
1433	259742	102520
1434	259919	102337
1435	260087	102151
1436	260239	101958
1437	260413	101774
1438	260602	101596
1439	260784	101416
1440	260985	101242
1441	261190	101071
1442	261380	100893
1443	261549	100707
1444	261713	100519
1445	261907	100343
1446	262065	100153
1447	262242	99970
1448	262441	99796
1449	262624	99616
1450	262787	99428
1451	262959	99243
1452	263120	99055
1453	263291	98870
1454	263484	98693
1455	263732	98537
1456	264065	98412
1457	264271	98240
1458	264397	98038
1459	264644	97882
1460	264863	97714
1461	265056	97537
1462	265304	97380
1463	265433	97180
1464	265613	96998
1465	265679	96775
1466	265845	96588
1467	266032	96409
1468	266217	96229
1469	266422	96057
1470	266604	95876
1471	266786	95695
1472	266946	95506
1473	267111	95319
1474	267278	95132
1475	267415	94935
1476	267571	94746
1477	267757	94566
1478	267946	94388
1479	268133	94209
1480	268317	94028
1481	268492	93845
1482	268571	93628
1483	268722	93437
1484	268887	93250
1485	268979	93038
1486	269179	92864
1487	269424	92705
1488	269604	92523
1489	269807	92350
1490	270016	92178
1491	270205	92000
1492	270380	91817
1493	270535	91627
1494	270702	91441
1495	270876	91257
1496	271052	91074
1497	271180	90876
1498	271322	90682
1499	271542	90514
1500	271764	90346
1501	271916	90156
1502	272123	89983
1503	272326	89809
1504	272511	89630
1505	272730	89461
1506	272901	89277
1507	273068	89091
1508	273260	88913
1509	273444	88733
1510	273654	88561
1511	273830	88379
1512	273943	88176
1513	274140	88000
1514	274296	87811
1515	274462	87625
1516	274656	87448
1517	274869	87277
1518	274951	87064
1519	275158	86892
1520	275382	86724
1521	275571	86546
1522	275738	86360
1523	275913	86177
1524	276081	85992
1525	276178	85785
1526	276354	85603
1527	276539	85423
1528	276719	85241
1529	276920	85067
1530	277112	84889
1531	277300	84710
1532	277472	84526
1533	277658	84347
1534	277857	84171
1535	278047	83993
1536	278245	83817
1537	278459	83646
1538	278627	83461
1539	278818	83283
1540	278998	83102
1541	279170	82918
1542	279351	82737
1543	279544	82559
1544	279728	82379
1545	279951	82210
1546	280192	82047
1547	280386	81869
1548	280558	81686
1549	280732	81503
1550	280915	81322
1551	281105	81143
1552	281304	80967
1553	281411	80765
1554	281628	80594
1555	281751	80397
1556	281948	80220
1557	282098	80030
1558	282267	79846
1559	282417	79656
1560	282606	79477
1561	282793	79297
1562	282981	79119
1563	283157	78936
1564	283329	78752
1565	283501	78569
1566	283681	78388
1567	283886	78213
1568	284076	78035
1569	284246	77850
1570	284430	77670
1571	284627	77494
1572	284827	77318
1573	284943	77119
1574	285119	76936
1575	285289	76753
1576	285446	76565
1577	285610	76380
1578	285767	76192
1579	285870	75990
1580	286044	75808
1581	286232	75629
1582	286416	75448
1583	286590	75266
1584	286773	75085
1585	286969	74908
1586	287158	74730
1587	287362	74555
1588	287564	74379
1589	287762	74202
1590	287973	74029
1591	288069	73826
1592	288227	73639
1593	288391	73454
1594	288564	73271
1595	288727	73086
1596	288968	72920
1597	289160	72742
1598	289349	72563
1599	289464	72366
1600	289584	72170
1601	289762	71988
1602	289946	71808
1603	290126	71627
1604	290328	71451
1605	290421	71249
1606	290602	71068
1607	290730	70874
1608	290927	70697
1609	291117	70519
1610	291323	70344
1611	291516	70166
1612	291699	69986
1613	291897	69809
1614	292113	69636
1615	292288	69454
1616	292463	69272
1617	292626	69087
1618	292806	68906
1619	292967	68720
1620	293133	68536
1621	293320	68357
1622	293542	68185
1623	293757	68012
1624	293959	67836
1625	294131	67653
1626	294299	67470
1627	294467	67286
1628	294631	67101
1629	294814	66921
1630	294944	66728
1631	295126	66548
1632	295307	66367
1633	295483	66185
1634	295693	66011
1635	295910	65838
1636	296127	65665
1637	296206	65461
1638	296408	65285
1639	296604	65108
1640	296938	64960
1641	297053	64765
1642	297263	64590
1643	297418	64404
1644	297574	64218
1645	297738	64033
1646	297895	63847
1647	298060	63663
1648	298252	63484
1649	298441	63305
1650	298632	63127
1651	298798	62943
1652	298958	62757
1653	299143	62577
1654	299317	62395
1655	299497	62214
1656	299686	62035
1657	299864	61853
1658	300077	61679
1659	300268	61500
1660	300468	61323
